TN,TX,TAVG,RH_AVG,SS,RR_lag1,TAVG_lag1,RH_AVG_lag1,SS_lag1,TX_lag1,TN_lag1,RR_rolling_mean_3d_lag1,RR_KAT_ENC
25.0,31.8,28.5,86.0,8.3,77.1,28.7,83.0,4.0,31.8,25.8,28.966666666666665,3
26.4,30.5,27.7,86.0,6.5,31.6,28.5,86.0,8.3,31.8,25.0,38.5,3
25.4,30.4,27.6,87.0,0.5,42.5,27.7,86.0,6.5,30.5,26.4,50.4,3
25.3,31.8,28.0,85.0,2.5,23.8,27.6,87.0,0.5,30.4,25.4,32.63333333333333,1
25.4,29.9,27.5,89.0,9.8,3.0,28.0,85.0,2.5,31.8,25.3,23.100000000000005,3
25.0,31.6,28.6,81.0,0.2,48.8,27.5,89.0,9.8,29.9,25.4,25.2,1
26.2,32.2,28.6,83.0,10.2,3.0,28.6,81.0,0.2,31.6,25.0,18.26666666666667,1
26.2,31.0,28.8,83.0,10.0,3.0,28.6,83.0,10.2,32.2,26.2,18.266666666666666,4
26.6,32.4,29.1,83.0,9.5,0.0,28.8,83.0,10.0,31.0,26.2,2.0,1
25.8,31.0,26.3,93.0,9.5,1.0,29.1,83.0,9.5,32.4,26.6,1.3333333333333333,1
25.8,30.0,27.6,89.0,0.0,18.0,26.3,93.0,9.5,31.0,25.8,6.333333333333333,1
24.7,29.4,27.1,87.0,4.4,7.7,27.6,89.0,0.0,30.0,25.8,8.9,1
26.0,31.4,28.2,85.0,0.1,9.3,27.1,87.0,4.4,29.4,24.7,11.666666666666666,1
25.4,31.6,28.1,86.0,6.0,1.0,28.2,85.0,0.1,31.4,26.0,6.0,4
25.0,30.4,26.9,91.0,9.4,0.0,28.1,86.0,6.0,31.6,25.4,3.4333333333333336,3
25.0,31.4,27.9,85.0,5.1,48.5,26.9,91.0,9.4,30.4,25.0,16.5,0
23.8,31.7,27.8,86.0,5.2,56.0,27.9,85.0,5.1,31.4,25.0,34.833333333333336,0
26.0,31.8,28.3,86.0,5.0,50.1,27.8,86.0,5.2,31.7,23.8,51.53333333333333,3
25.4,31.8,28.5,82.0,4.4,32.2,28.3,86.0,5.0,31.8,26.0,46.1,3
25.2,30.2,26.0,89.0,9.4,20.6,28.5,82.0,4.4,31.8,25.4,34.300000000000004,1
25.0,31.2,25.8,89.0,1.4,3.3,26.0,89.0,9.4,30.2,25.2,18.7,1
24.6,30.8,27.6,86.0,1.0,4.0,25.8,89.0,1.4,31.2,25.0,9.3,3
25.2,30.8,28.1,82.0,7.3,24.1,27.6,86.0,1.0,30.8,24.6,10.466666666666667,1
25.0,30.6,27.4,86.0,9.3,7.0,28.1,82.0,7.3,30.8,25.2,11.700000000000001,0
25.6,30.4,27.6,79.0,6.5,66.1,27.4,86.0,9.3,30.6,25.0,32.4,1
25.8,30.8,28.0,83.0,7.5,1.2,27.6,79.0,6.5,30.4,25.6,24.766666666666666,1
25.0,30.8,27.2,83.0,8.0,0.2,28.0,83.0,7.5,30.8,25.8,22.499999999999996,4
24.4,30.4,27.1,84.0,10.0,0.0,27.2,83.0,8.0,30.8,25.0,0.4666666666666619,4
24.4,30.8,28.2,82.0,9.5,0.0,27.1,84.0,10.0,30.4,24.4,0.06666666666666193,1
25.8,31.6,28.6,85.0,4.5,4.0,28.2,82.0,9.5,30.8,24.4,1.3333333333333286,1
24.8,30.1,27.0,89.0,7.5,7.9,28.6,85.0,4.5,31.6,25.8,3.966666666666662,1
25.3,30.2,27.8,85.0,6.5,0.2,27.0,89.0,7.5,30.1,24.8,4.033333333333329,3
25.0,29.6,27.4,87.0,4.0,21.5,27.8,85.0,6.5,30.2,25.3,9.866666666666662,0
26.2,30.6,27.8,81.0,4.0,59.6,27.4,87.0,4.0,29.6,25.0,27.099999999999994,1
25.6,30.6,27.4,82.0,8.1,6.5,27.8,81.0,4.0,30.6,26.2,29.2,1
25.0,30.0,27.1,86.0,7.0,1.4,27.4,82.0,8.1,30.6,25.6,22.499999999999996,1
25.2,31.0,27.5,83.0,8.2,1.5,27.1,86.0,7.0,30.0,25.0,3.133333333333329,4
24.8,31.0,27.0,81.0,8.7,0.0,27.5,83.0,8.2,31.0,25.2,0.9666666666666619,1
24.8,29.4,26.4,85.0,7.8,0.5,27.0,81.0,8.7,31.0,24.8,0.666666666666662,1
24.0,29.4,26.3,83.0,9.1,3.0,26.4,85.0,7.8,29.4,24.8,1.1666666666666619,1
25.0,29.4,26.4,84.0,9.5,3.0,26.3,83.0,9.1,29.4,24.0,2.166666666666662,1
25.0,30.0,26.8,80.0,9.5,3.0,26.4,84.0,9.5,29.4,25.0,3.0,1
25.0,29.8,27.2,80.0,8.7,3.0,26.8,80.0,9.5,30.0,25.0,3.0,1
25.6,30.0,27.2,80.0,9.4,3.0,27.2,80.0,8.7,29.8,25.0,3.0,1
24.8,30.2,26.8,84.0,9.5,3.0,27.2,80.0,9.4,30.0,25.6,3.0,1
24.8,30.4,27.1,83.0,5.4,2.1,26.8,84.0,9.5,30.2,24.8,2.6999999999999953,1
25.0,30.2,27.3,76.0,2.3,1.8,27.1,83.0,5.4,30.4,24.8,2.2999999999999954,1
23.9,30.0,26.4,85.0,4.4,3.0,27.3,76.0,2.3,30.2,25.0,2.2999999999999954,1
25.0,30.0,27.1,86.0,9.3,2.0,26.4,85.0,4.4,30.0,23.9,2.266666666666662,1
25.3,30.5,27.2,81.0,5.0,19.2,27.1,86.0,9.3,30.0,25.0,8.066666666666661,1
25.2,31.0,27.5,83.0,5.7,0.4,27.2,81.0,5.0,30.5,25.3,7.199999999999995,1
25.6,29.4,26.8,82.0,5.8,1.5,27.5,83.0,5.7,31.0,25.2,7.033333333333328,1
